"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count"
"2";"28";"3";"1143803202301544_631474231673529";"offcut";"";"fetched (200)";"2022-09-29 15:28:54.128228";"Facebook:/<post-id>/comments";"";"";"";""
"2";"29";"4";"1143803202301544_631473548340264";"empty";"";"fetched (200)";"2022-09-29 15:28:54.556616";"Facebook:/<post-id>/comments";"";"";"";""
"2";"30";"4";"1143803202301544_631473548340264";"offcut";"";"fetched (200)";"2022-09-29 15:28:54.556616";"Facebook:/<post-id>/comments";"";"";"";""
"2";"31";"5";"1143803202301544_631509338336685";"data";"data.*";"fetched (200)";"2022-09-29 15:28:54.742722";"Facebook:/<post-id>/comments";"Watch Storyville: On the Morning You Wake on iPlayer";"2022-09-29T10:43:37+0000";"0";"0"
"2";"32";"5";"1143803202301544_631509338336685";"data";"data.*";"fetched (200)";"2022-09-29 15:28:54.742722";"Facebook:/<post-id>/comments";"I know this will probably get lost in the comments but sometimes when I’m home alone I like to go out in my garden and cover myself with dirt and pretend I’m a carrot..";"2022-09-29T11:04:24+0000";"0";"1"
"2";"33";"5";"1143803202301544_631509338336685";"data";"data.*";"fetched (200)";"2022-09-29 15:28:54.742722";"Facebook:/<post-id>/comments";"That still doesn't change the fact that there are 49million kangaroos in Australia and 3.5million people in Uruguay which means if the kangaroos were to invade Uruguay each person will have to fight 14 kangaroos.";"2022-09-29T11:04:35+0000";"1";"0"
"2";"34";"5";"1143803202301544_631509338336685";"data";"data.*";"fetched (200)";"2022-09-29 15:28:54.742722";"Facebook:/<post-id>/comments";"There's no point in being a survivor in a nuclear attack. It's only a slow agonizing death later.";"2022-09-29T11:07:19+0000";"0";"0"
"2";"35";"5";"1143803202301544_631509338336685";"data";"data.*";"fetched (200)";"2022-09-29 15:28:54.742722";"Facebook:/<post-id>/comments";"There has always been a threat of nuclear war.  Always.  The only thing that prevented it was that the other side had nukes too.  Ukraine would not be in this situation if it had kept its nukes.";"2022-09-29T11:19:18+0000";"0";"0"
"2";"36";"5";"1143803202301544_631509338336685";"data";"data.*";"fetched (200)";"2022-09-29 15:28:54.742722";"Facebook:/<post-id>/comments";"Its would be so sad😢😢😢🙏";"2022-09-29T12:18:55+0000";"0";"0"
"2";"37";"5";"1143803202301544_631509338336685";"data";"data.*";"fetched (200)";"2022-09-29 15:28:54.742722";"Facebook:/<post-id>/comments";"I think I woke up constantly with the threat of nuclear catastrophe in the 60's. And I worried about it. And I demonstrated about it. A lot of energy uselessly lost. Now I live in a country where nuclear energy could pillow it from some of the world's problems. Sorry. I havn't enough time left to worry about it any more.😉";"2022-09-29T12:36:41+0000";"0";"0"
"2";"38";"5";"1143803202301544_631509338336685";"data";"data.*";"fetched (200)";"2022-09-29 15:28:54.742722";"Facebook:/<post-id>/comments";"LIFE & JOKES It wouldn't be a carrot because I have problems with my root veggies. But maybe resurrecting as a sweet pea while the world goes on?";"2022-09-29T12:42:24+0000";"0";"0"
"2";"39";"5";"1143803202301544_631509338336685";"offcut";"";"fetched (200)";"2022-09-29 15:28:54.742722";"Facebook:/<post-id>/comments";"";"";"";""
"2";"40";"6";"1143803202301544_631472768340342";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.162613";"Facebook:/<post-id>/comments";"အရေးတော်ပုံအောင်ရမည်";"2022-09-29T11:23:42+0000";"0";"0"
"2";"41";"6";"1143803202301544_631472768340342";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.162613";"Facebook:/<post-id>/comments";"I very much like Gary Neville, and respect his opinions, even when I don't agree with him.";"2022-09-29T12:07:01+0000";"0";"0"
"2";"42";"6";"1143803202301544_631472768340342";"offcut";"";"fetched (200)";"2022-09-29 15:28:55.162613";"Facebook:/<post-id>/comments";"";"";"";""
"2";"43";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"Each time I watch this I become so emotional. I gt teary eyes... One of my most fav scenes of all time.";"2022-09-29T10:15:40+0000";"2";"0"
"2";"44";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"Love this ❤️";"2022-09-29T10:28:40+0000";"0";"0"
"2";"45";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"Who broke his heart earlier on?";"2022-09-29T10:52:19+0000";"0";"0"
"2";"46";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"One of my favorites❤️";"2022-09-29T10:53:04+0000";"0";"0"
